Date,Close,High,Low,Shares_Traded,Turnover
2016-12-20,8082.4,8124.1,8062.75,132026742.0,6296.67
2016-12-21,8061.3,8112.55,8053.25,127543733.0,6304.6
2016-12-22,7979.1,8046.45,7964.95,126409580.0,6206.58
2016-12-23,7985.75,8022.6,7942.05,127921701.0,5907.28
2016-12-26,7908.25,7970.05,7893.8,110171222.0,4808.67
2016-12-27,8032.85,8044.65,7903.7,122463312.0,5282.66
2016-12-28,8034.85,8100.55,8028.4,130580701.0,5816.34
2016-12-29,8103.6,8111.1,8020.8,183984077.0,7635.4
2016-12-30,8185.8,8197.0,8114.75,131457250.0,5800.7
2017-01-02,8179.5,8212.0,8133.8,122016111.0,5255.49
2017-01-03,8192.25,8219.1,8148.6,131186021.0,6053.67
2017-01-04,8190.5,8218.5,8180.9,136476345.0,6543.13
2017-01-05,8273.8,8282.65,8223.7,163957452.0,8180.68
2017-01-06,8243.8,8306.85,8233.25,143689850.0,7298.74
2017-01-09,8236.05,8263.0,8227.75,102211190.0,5197.62
2017-01-10,8288.6,8293.8,8261.0,147312927.0,6904.57
2017-01-11,8380.65,8389.0,8322.25,192285417.0,8938.68
2017-01-12,8407.2,8417.2,8382.3,177948383.0,7359.24
2017-01-13,8400.35,8461.05,8373.15,190949616.0,9156.16
2017-01-16,8412.8,8426.7,8374.4,127938836.0,6043.67
2017-01-17,8398.0,8440.9,8378.3,125781216.0,6389.21
2017-01-18,8417.0,8460.3,8397.4,168867039.0,7411.23
2017-01-19,8435.1,8445.15,8404.05,170956149.0,7324.14
2017-01-20,8349.35,8423.65,8340.95,208901233.0,9014.51
2017-01-23,8391.5,8404.15,8327.2,200993100.0,8664.94
2017-01-24,8475.8,8480.95,8398.15,184745781.0,8524.17
2017-01-25,8602.75,8612.6,8493.95,301490150.0,13901.89
2017-01-27,8641.25,8672.7,8606.9,283905821.0,11568.92
2017-01-30,8632.75,8662.6,8617.75,314110760.0,9333.49
2017-01-31,8561.3,8631.75,8552.4,537110119.0,14721.17
2017-02-01,8716.4,8722.4,8537.5,337797412.0,13494.05
2017-02-02,8734.25,8757.6,8685.8,292329202.0,11555.02
